,configuration,gamma,idle_time,cycle_count,steps,items_processed,reward,idle_percent,cycle_percent
1x2,1x2,0.99,5581.71,401.0,7594.55,104.0,-899.76,0.734962571844283,3.855769230769231
2x2,2x2,0.99,67.0,14.43,1462.78,150.34,399.24,0.0458031966529485,0.09598243980311294
2x3,2x3,0.99,2.99,19.67,2503.96,151.03,403.53,0.001194108532085177,0.13023902535920018
3x3,3x3,0.99,136.67,82.05,1708.61,150.5,218.91,0.07998899690391605,0.5451827242524917
4x3,4x3,0.99,100.89,97.41,1248.14,146.35,161.97,0.08083227843030429,0.6655961735565425
5x3,5x3,0.99,1159.29,304.52,563.05,45.32,-808.92,2.0589468075659356,6.719329214474845
