,index,idle_time,cycle_count,steps
0,pipel_5,0.0,0.02,772.4
1,pipel_10,0.0,0.4,770.48
2,pipel_15,2.46,2.32,750.36
3,pipel_20,10.88,7.76,771.0
4,pipel_25,23.72,10.64,778.0
5,pipel_30,91.92,30.68,823.46
6,pipel_35,133.1,34.86,832.32
7,pipel_40,220.56,48.54,871.78
8,pipel_45,272.94,55.88,909.44
