,index,idle_time,cycle_count,steps
0,lane_l_10,0.6,1.22,774.98
1,lane_l_9,0.0,0.04,764.72
2,lane_l_8,0.14,0.1,756.04
3,lane_l_7,0.0,0.0,758.46
4,lane_l_6,0.18,0.2,775.06
5,lane_l_5,1.36,2.06,767.78
6,lane_l_4,11.62,12.78,780.12
7,lane_l_3,57.02,52.2,795.72
8,lane_l_2,193.16,135.2,867.72
9,lane_l_1,177.96,134.54,867.1
